trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
3508,False,"{'a': 0.9, 'e': 0.029904234988286458}",25,8,32.095370414264174,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3509,False,"{'a': 0.9, 'e': 0.02987433075329817}",30,3,53.366824316402074,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
3510,False,"{'a': 0.9, 'e': 0.029844456422544872}",25,17,12.543553318797754,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3511,False,"{'a': 0.9, 'e': 0.02981461196612233}",20,6,26.384631002065742,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3512,False,"{'a': 0.9, 'e': 0.029784797354156206}",20,15,9.942100509670261,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3513,False,"{'a': 0.9, 'e': 0.02975501255680205}",20,14,9.45209051334231,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3514,False,"{'a': 0.9, 'e': 0.029725257544245248}",25,11,16.58305531962228,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
3515,False,"{'a': 0.9, 'e': 0.029695532286701003}",20,10,18.483828755390913,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3516,False,"{'a': 0.9, 'e': 0.029665836754414303}",20,9,24.326458103535636,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3517,False,"{'a': 0.9, 'e': 0.02963617091765989}",20,0,43.235924302826604,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
3518,False,"{'a': 0.9, 'e': 0.029606534746742227}",20,3,30.11772413574471,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3519,False,"{'a': 0.9, 'e': 0.029576928211995486}",35,9,49.33496095584717,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
3520,False,"{'a': 0.9, 'e': 0.02954735128378349}",25,16,14.19325945968446,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3521,False,"{'a': 0.9, 'e': 0.029517803932499708}",25,17,14.637847126280565,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3522,False,"{'a': 0.9, 'e': 0.029488286128567208}",30,21,14.935617790014753,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3523,False,"{'a': 0.9, 'e': 0.029458797842438638}",25,14,21.757478078609477,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3524,False,"{'a': 0.9, 'e': 0.0294293390445962}",20,8,26.362749454512503,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3525,False,"{'a': 0.9, 'e': 0.029399909705551605}",20,9,17.841974808417323,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3526,False,"{'a': 0.9, 'e': 0.029370509795846052}",25,13,23.057673582178747,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3527,False,"{'a': 0.9, 'e': 0.029341139286050207}",20,8,22.76484357510458,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3528,False,"{'a': 0.9, 'e': 0.029311798146764156}",20,8,9.451450711924561,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
3529,False,"{'a': 0.9, 'e': 0.029282486348617392}",35,18,35.67128061031509,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3530,False,"{'a': 0.9, 'e': 0.029253203862268776}",20,16,7.717045440309306,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3531,False,"{'a': 0.9, 'e': 0.029223950658406505}",30,13,33.37840065141341,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3532,False,"{'a': 0.9, 'e': 0.0291947267077481}",30,24,12.204986253926556,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3533,False,"{'a': 0.9, 'e': 0.02916553198104035}",25,14,23.106458926314318,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3534,False,"{'a': 0.9, 'e': 0.02913636644905931}",20,13,13.327855982344825,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3535,False,"{'a': 0.9, 'e': 0.029107230082610253}",20,10,5.043745343963534,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
3536,False,"{'a': 0.9, 'e': 0.02907812285252764}",30,19,20.038717739859713,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3537,False,"{'a': 0.9, 'e': 0.029049044729675115}",20,-5,42.18599982451069,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
3538,False,"{'a': 0.9, 'e': 0.02901999568494544}",25,16,17.034278425652523,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3539,False,"{'a': 0.9, 'e': 0.028990975689260495}",20,13,13.654980430657066,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3540,False,"{'a': 0.9, 'e': 0.028961984713571233}",25,15,18.813635956233153,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3541,False,"{'a': 0.9, 'e': 0.02893302272885766}",30,18,24.431205319097103,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3542,False,"{'a': 0.9, 'e': 0.028904089706128806}",35,18,34.53160818361725,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3543,False,"{'a': 0.9, 'e': 0.028875185616422674}",20,2,34.82782842692741,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3544,False,"{'a': 0.9, 'e': 0.028846310430806252}",30,14,30.09729214201675,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
3545,False,"{'a': 0.9, 'e': 0.028817464120375447}",20,9,20.642840666019413,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3546,False,"{'a': 0.9, 'e': 0.028788646656255072}",25,13,24.645489337545527,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3547,False,"{'a': 0.9, 'e': 0.028759858009598814}",25,14,25.11127812878212,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3548,False,"{'a': 0.9, 'e': 0.028731098151589217}",35,24,23.13010050203003,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3549,False,"{'a': 0.9, 'e': 0.02870236705343763}",30,12,33.86169618099379,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3550,False,"{'a': 0.9, 'e': 0.02867366468638419}",20,16,7.315865745099601,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3551,False,"{'a': 0.9, 'e': 0.028644991021697805}",20,8,23.683669228686387,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3552,False,"{'a': 0.9, 'e': 0.02861634603067611}",30,18,21.71050861830117,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3553,False,"{'a': 0.9, 'e': 0.028587729684645433}",25,12,29.147239043547092,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3554,False,"{'a': 0.9, 'e': 0.028559141954960787}",30,16,25.493821695910235,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3555,False,"{'a': 0.9, 'e': 0.028530582813005825}",20,11,15.791571266489523,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3556,False,"{'a': 0.9, 'e': 0.02850205223019282}",30,18,27.568687541796745,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3557,False,"{'a': 0.9, 'e': 0.028473550177962628}",20,9,23.7666811404683,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3558,False,"{'a': 0.9, 'e': 0.028445076627784664}",20,15,9.788053490756683,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3559,False,"{'a': 0.9, 'e': 0.02841663155115688}",20,10,14.901691003593212,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3560,False,"{'a': 0.9, 'e': 0.028388214919605723}",20,12,15.923938630576654,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3561,False,"{'a': 0.9, 'e': 0.028359826704686116}",25,12,26.578401517848754,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3562,False,"{'a': 0.9, 'e': 0.02833146687798143}",25,17,13.85524095079642,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3563,False,"{'a': 0.9, 'e': 0.02830313541110345}",20,16,7.767665937553411,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3564,False,"{'a': 0.9, 'e': 0.028274832275692347}",25,20,11.257997624123925,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3565,False,"{'a': 0.9, 'e': 0.028246557443416653}",30,12,35.02036958618215,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3566,False,"{'a': 0.9, 'e': 0.028218310885973236}",25,-5,62.38115315935886,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
3567,False,"{'a': 0.9, 'e': 0.028190092575087262}",30,16,25.634362938211023,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3568,False,"{'a': 0.9, 'e': 0.028161902482512175}",20,9,22.114975533030837,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3569,False,"{'a': 0.9, 'e': 0.028133740580029664}",20,12,-9.036078629340103,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
3570,False,"{'a': 0.9, 'e': 0.028105606839449633}",20,10,19.010211632624507,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3571,False,"{'a': 0.9, 'e': 0.028077501232610186}",25,20,10.944613328098086,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3572,False,"{'a': 0.9, 'e': 0.028049423731377573}",30,16,24.910176751208024,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3573,False,"{'a': 0.9, 'e': 0.0280213743076462}",30,16,29.91157970140413,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
